epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.3219,1.81668,2.88754,1.49976,0.19549,0.3294,0.10428,0.05076,2.02994,2.71549,1.82472,0.000661692,0.000661692,0.000661692
2,158.311,1.8125,1.67227,1.49852,0.47081,0.51306,0.52546,0.27066,1.81075,4.43941,1.56592,0.00130206,0.00130206,0.00130206
3,231.768,1.74828,1.48981,1.44508,0.78399,0.49958,0.56923,0.2993,1.9374,2.71137,1.92848,0.00191602,0.00191602,0.00191602
4,302.868,1.72214,1.49536,1.44438,0.63586,0.60573,0.63424,0.33435,1.76638,3.68546,1.60194,0.0018812,0.0018812,0.0018812
5,374.65,1.63996,1.33567,1.38156,0.8707,0.71104,0.80758,0.4899,1.64699,1.46265,1.4803,0.0018416,0.0018416,0.0018416
6,450.998,1.57183,1.22821,1.36456,0.91559,0.69924,0.8095,0.43745,1.73343,1.60865,1.47383,0.001802,0.001802,0.001802
7,522.426,1.54731,1.19733,1.32847,0.81593,0.68576,0.76847,0.41281,1.69348,1.73545,1.506,0.0017624,0.0017624,0.0017624
8,596.455,1.48919,1.1057,1.30369,0.89324,0.73547,0.84173,0.49501,1.61836,1.33187,1.50454,0.0017228,0.0017228,0.0017228
9,667.553,1.44354,1.06231,1.27768,0.88227,0.66386,0.76172,0.44125,1.76541,1.49947,1.62864,0.0016832,0.0016832,0.0016832
10,741.151,1.43001,1.02815,1.2756,0.87886,0.62089,0.74602,0.43773,1.66941,1.49633,1.5373,0.0016436,0.0016436,0.0016436
11,813.948,1.42706,1.04246,1.29262,0.9115,0.83296,0.89107,0.56012,1.52265,1.20951,1.44099,0.001604,0.001604,0.001604
12,885.431,1.40437,0.97523,1.25221,0.74033,0.64131,0.72327,0.43608,1.66805,1.91145,1.54057,0.0015644,0.0015644,0.0015644
13,955.831,1.43721,1.03561,1.26659,0.87509,0.80271,0.88478,0.5505,1.45408,1.218,1.38256,0.0015248,0.0015248,0.0015248
14,1031.83,1.35576,0.94303,1.23975,0.85817,0.67288,0.78557,0.47809,1.61223,1.48705,1.5318,0.0014852,0.0014852,0.0014852
15,1102.26,1.33792,0.92445,1.2528,0.8918,0.8471,0.92984,0.60937,1.45729,1.00698,1.39513,0.0014456,0.0014456,0.0014456
16,1173.19,1.32575,0.91072,1.23564,0.86799,0.75063,0.85393,0.5377,1.54194,1.14025,1.45584,0.001406,0.001406,0.001406
17,1247.01,1.30874,0.89419,1.21319,0.92115,0.84836,0.93197,0.62786,1.39942,0.97152,1.35344,0.0013664,0.0013664,0.0013664
18,1317.07,1.29324,0.87441,1.2114,0.93589,0.84414,0.9307,0.62354,1.41698,0.98843,1.36811,0.0013268,0.0013268,0.0013268
19,1387.81,1.27319,0.82778,1.20006,0.9073,0.82451,0.91772,0.6095,1.41227,1.07297,1.37946,0.0012872,0.0012872,0.0012872
20,1460.41,1.23692,0.82276,1.19796,0.91802,0.85846,0.93568,0.64372,1.37354,0.97899,1.35037,0.0012476,0.0012476,0.0012476
21,1533.75,1.23494,0.82018,1.18078,0.92296,0.86015,0.93625,0.65458,1.33948,0.91947,1.31861,0.001208,0.001208,0.001208
22,1604.65,1.22681,0.80465,1.18441,0.92138,0.88206,0.94527,0.64859,1.36452,0.93909,1.35108,0.0011684,0.0011684,0.0011684
23,1677.16,1.21294,0.7881,1.18299,0.8971,0.86015,0.92568,0.61149,1.44466,1.01529,1.46031,0.0011288,0.0011288,0.0011288
24,1747.7,1.19641,0.76145,1.16662,0.94266,0.84477,0.94485,0.63899,1.35198,0.926,1.3136,0.0010892,0.0010892,0.0010892
25,1820.41,1.20009,0.76692,1.17272,0.92884,0.73126,0.83513,0.56774,1.53795,1.33228,1.43664,0.0010496,0.0010496,0.0010496
