                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8527,                 2.4226,                 1.4316,                0.74253,                0.60012,                0.66352,                0.35505,                 1.8249,                 2.2021,                 1.5264,             0.00066169,             0.00066169,             0.00066169
                      2,                 1.7075,                  1.486,                  1.384,                0.61177,                0.53243,                0.56074,                0.24539,                 1.8433,                 2.2895,                 1.5069,              0.0013021,              0.0013021,              0.0013021
                      3,                 1.6415,                 1.3536,                 1.3483,                0.73302,                0.49452,                0.54723,                0.27584,                 1.9784,                 2.1787,                 1.5425,               0.001916,               0.001916,               0.001916
                      4,                 1.6212,                 1.2936,                  1.331,                0.82785,                0.67481,                0.73436,                0.40804,                 1.7458,                 1.4941,                 1.5158,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.5373,                 1.1621,                 1.2993,                 0.8868,                0.75239,                0.84488,                0.49443,                 1.6651,                 1.3547,                 1.4544,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.5113,                  1.116,                 1.2907,                0.85062,                0.67818,                0.78514,                0.47391,                 1.6385,                 1.5005,                 1.3992,               0.001802,               0.001802,               0.001802
                      7,                 1.4943,                 1.1076,                 1.2812,                0.86809,                0.69304,                0.80107,                0.47298,                 1.6341,                 1.3512,                 1.4281,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.4224,                 1.0176,                 1.2607,                0.86776,                0.74221,                0.85899,                0.53421,                 1.5426,                 1.2221,                 1.3718,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.4077,                 0.9969,                 1.2403,                0.90184,                0.72873,                0.82915,                0.49929,                 1.5891,                 1.4243,                 1.3927,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.4104,                0.97295,                 1.2462,                0.93279,                0.77173,                 0.8892,                0.55813,                 1.5351,                  1.128,                 1.3669,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.3635,                0.95324,                 1.2268,                0.90455,                0.83833,                0.91871,                0.60079,                 1.4044,                0.95213,                 1.3118,               0.001604,               0.001604,               0.001604
                     12,                 1.3462,                0.92886,                 1.2216,                0.93868,                0.81971,                0.91443,                0.59275,                 1.4268,                0.97967,                 1.3317,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.3392,                0.92577,                 1.2259,                0.86612,                0.80119,                0.87828,                0.56263,                 1.4695,                  1.065,                 1.3369,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.2775,                0.86945,                 1.1829,                  0.934,                0.87028,                0.94091,                0.61332,                 1.4224,                0.93535,                 1.3449,              0.0014852,              0.0014852,              0.0014852
                     15,                  1.276,                0.85149,                 1.1892,                0.91367,                0.82922,                0.92257,                0.61166,                  1.429,                 1.0138,                  1.334,              0.0014456,              0.0014456,              0.0014456
                     16,                  1.224,                0.82707,                 1.1611,                 0.8977,                0.77338,                0.88394,                0.55113,                 1.5514,                   1.11,                 1.3764,               0.001406,               0.001406,               0.001406
                     17,                 1.2746,                0.82625,                 1.1777,                  0.891,                0.84246,                0.91437,                0.60184,                 1.4093,                0.97104,                 1.3226,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.2161,                 0.8028,                 1.1564,                0.93243,                0.85004,                0.93646,                0.61617,                 1.3896,                0.88294,                 1.3113,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.2214,                0.79323,                 1.1648,                0.91006,                0.88655,                0.93972,                0.61259,                 1.3655,                 0.8863,                 1.3128,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.2008,                 0.7635,                 1.1476,                0.91098,                0.83741,                0.90971,                0.59089,                 1.4427,                 0.9368,                 1.3827,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.1693,                0.74971,                  1.132,                0.95564,                0.87279,                0.94925,                 0.6717,                 1.2897,                0.82426,                 1.2678,               0.001208,               0.001208,               0.001208
                     22,                  1.178,                0.74147,                 1.1451,                0.94331,                 0.8831,                0.95308,                0.64847,                  1.349,                0.79267,                 1.3026,              0.0011684,              0.0011684,              0.0011684
